centro_salud,estado_geografico,municipio,tipo
Hospital Dr. Jose Gregorio Hernandez,Amazonas,Autonomo Atures,II
Hospital Antonio Jose Rondon Lugo,Anzoátegui,Manuel Ezequiel Bruzual,I
Hospital Dr. Jesus Eduardo Angulo Rivas,Anzoátegui,Anaco,I
Hospital Dr. Luis Razetti,Anzoátegui,Simon Bolivar,IV
Hospital Dr. Rafael Rangel,Anzoátegui,Aragua,I
Hospital Pedro Gomez Rolingson,Anzoátegui,Piritu,I
Hospital Dr. Francisco Antonio Risqu Ez,Apure,Achaguas,I
Hospital Dr. Pablo Acosta Ortiz,Apure,San Fernando,III
Hospital Jose Antonio Paez,Apure,Paez,II
Hospital Lorenza Castillo,Apure,Pedro Camejo,I
Hospital Romulo Gallegos,Apure,Romulo Gallegos Urbana,I
Hospital . Jose Rangel (Corposalud) Hospit Al Villa De Cura Cura Av. Bolivar,Aragua,Zamora,II
Hospital Hospital Central de Maracay,Aragua,Girardot,
Hospital Nuestra Señora De La Caridad,Aragua,San Sebastian,I
Hospital Dr. Francisco Lazo Marti,Barinas,Edraza,I
Hospital Dr. Jesus Arnoldo Camacho Peña,Barinas,Alberto Arvelo Torrealba,I
Hospital Dr. Jose Leon Tapia,Barinas,Antonio Jose De Sucre,I
Hospital Dr. Manuel Heredia Salas,Barinas,Ojas,I
Hospital Luis Razeti,Barinas,Barinas,III
Hospital Nuestra Señora Del Car Men,Barinas,Olivar,I
Hospital Primero De D,Barinas,Barinas,II
Hospital 25 De Marzo I Bolívar,Bolívar,nd,I
Hospital COMPLEJO HOSPITALARIO UNIVERSITARIO RUIZ Y PÁEZ,Bolívar,Heres,IV
Hospital Dr. Americo Babo,Bolívar,nd,I
Hospital Dr. Arnoldo Gabaldon,Bolívar,Cedeño,I
Hospital Dr. Raul Leoni O. (Ivss),Bolívar,Caroni,IV
Hospital Guri Ormesa,Bolívar,Bolivariano Angostura,I
Hospital Hector Nouel Joubert (Ivss),Bolívar,Heres,III
Hospital Militar Dr. Cesar Ares Bello D Estriban,Bolívar,nd,militar
Hospital Rosario Vera Zurita,Bolívar,nd,I
Hospital Uyapar (Ivss),Bolívar,Caroni,III
Hospital Bejuma,Carabobo,Bejuma,II
Hospital Dr. Francisco Molina Sierra (Iv Ss),Carabobo,Puerto Cabello,III
Hospital Dr. Miguel Malpica,Carabobo,Guacara,I
Hospital Enrique Tejera,Carabobo,Valencia,IV
Hospital La Mon Umental La Monumental Valencia,Carabobo,Valencia,II
Hospital Vía,Carabobo,Naguanagua,IV
Hospital Dr. Egor Nucette H. De San Car Los,Cojedes,Ezequiel Zamora,II
Hospital Dr. Juan Aponte - El Baul,Cojedes,Girardot,I
